0800-number	0800 number	expression
0898-number	0898 number	expression
1-2-3-inning	1-2-3 inning	expression
10000-foot-view	10000 foot view	expression
101	101	expression
12a	12A	expression
12th-man	12th man	expression
15	15	expression
15-minute-city	15-minute city	expression
16pf	the 16PF	expression
16pf-personality-factor-questionnaire	the 16PF Personality Factor Questionnaire	expression
18	18	expression
18-yard-box	18-yard box	expression
180	180	expression
2-1	2:1	expression
2-2	2:2	expression
2-2-5	2+2=5	expression
2-3-5	2 3 5	expression
2-d	2-D	expression
20-100-etc-worth-of	£20, $100, etc. worth of something	phrase
20-20-vision	20/20 vision	expression
20-30-etc-years-senior	20, 30, etc. years someone's senior	phrase
200-percent-declining-balance-method	200 percent declining balance method	expression
22	.22	expression
22-meter-drop-out	22 meter drop-out	expression
22-metre-drop-out	22 metre drop-out	expression
24-7	24/7	expression
24-hour	24-hour	expression
24-hour-clock	24-hour clock	expression
24-hour-society	24-hour society	expression
2fa	2FA	expression
2g	2G	expression
2sv	2SV	expression
3-d	3-D	expression
3-d-printer	3-D printer	expression
3-d-printing	3-D printing	expression
360-degree-appraisal	360-degree appraisal	expression
360-degree-feedback	360-degree feedback	expression
3g	3G	expression
3ws	3Ws	expression
4-3-2-1	4 3 2 1	expression
4-4-2	4 4 2	expression
4-5-1	4 5 1	expression
401-k-plan	401(k) plan	expression
45	.45	expression
4g	4G	expression
4wd	4WD	expression
4x4	4×4	expression
5-ss	the 5 Ss	expression
50-yard-line	50-yard line	expression
5g	5G	expression
64-000-question	$64,000 question	expression
7-7	7/7	expression
78	78	expression
80-20-principle	the 80/20 principle	expression
80-20-rule	the 80/20 rule	expression
800-number	800 number	expression
9-11	9/11	expression
900-number	900 number	expression
911	911	expression
999	999	expression
a	A, a	word
a-and-e	A &amp; E	expression
a-b-c-share	A/B/C share	expression
a-bomb	A-bomb	expression
a-c	a/c	expression
a-c-payee-only	a/c payee (only)	expression
a-cappella	a cappella	expression
a-d	A/D	expression
a-fortiori	a fortiori	expression
a-frame	A-frame	expression
a-game	A game	expression
a-la	à la	expression
a-la-carte	à la carte	expression
a-la-carte-menu	à la carte menu	expression
a-la-grecque	à la grecque	expression
a-la-king	à la king	expression
a-la-mode	à la mode	expression
a-level	A level	expression
a-line	A-line	expression
a-list	A-list	expression
a-lister	A-lister	expression
a-ok	A-OK	expression
a-posteriori	a posteriori	expression
a-priori	a priori	expression
a-r	a/r	expression
a-s	A/S	expression
a-s-l	a/s/l	expression
a-share	A share	expression
a1	A1	expression
a2	A2	expression
a3	A3	expression
a4	A4	expression
a5	A5	expression
aa	AA	word
aa-rating	AA rating	expression
aaa	AAA	word
aah	aah	word
aapi	AAPI	word
aar	AAR	word
aardvark	aardvark	word
aarp	the AARP	word
aave	AAVE	word
ab	AB	word
ab-initio	ab initio	expression
aba	ABA	word
aback	aback	word
abacterial	abacterial	word
abacus	abacus	word
abaft	abaft	word
abalone	abalone	word
abandon	abandon	word
abandon-jump-ship	abandon/jump ship	idiom
abandon-ship	abandon ship	expression
abandon-to	abandon yourself to something	phrase
abandoned	abandoned	word
abandoning	abandoning	word
abandonment	abandonment	word
abandonware	abandonware	word
abap	ABAP	word
abase	abase	word
abased	abased	word
abasement	abasement	word
abash	abash	word
abashed	abashed	word
abasing	abasing	word
abate	abate	word
abated	abated	word
abatement	abatement	word
abatement-order	abatement order	expression
abating	abating	word
abattoir	abattoir	word
abaxial	abaxial	word
abaya	abaya	word
abbess	abbess	word
abbey	abbey	word
abbey-church	abbey church	expression
abbot	abbot	word
abbreviate	abbreviate	word
abbreviated	abbreviated	word
abbreviated-accounts	abbreviated accounts	expression
abbreviated-form	abbreviated form	expression
abbreviating	abbreviating	word
abbreviation	abbreviation	word
abc	ABC	word
abc-analysis	ABC analysis	expression
abc-method	ABC method	expression
abc1	ABC1	expression
abcs	ABCs	word
abd	abd	word
abdicate	abdicate	word
abdicate-responsibility	abdicate responsibility	phrase
abdicated	abdicated	word
abdicating	abdicating	word
abdication	abdication	word
abdomen	abdomen	word
abdominal	abdominal	word
abdominally	abdominally	word
